artistname,artistid,Total tracks
Ella Fitzgerald,133,1260
Party Tyme Karaoke,420803,809
Billie Holiday,49,765
Neil Diamond,35,603
Kiss,298,600
B.B. King,136,556
Elton John,1039,527
The Beach Boys,364,483
Glen Campbell,15205,473
Nana Mouskouri,15660,458
Louis Armstrong,36,441
Sarah Vaughan,2754,437
Dinah Washington,1497,430
Bing Crosby,10407,420
Frank Sinatra,2100,411
Sublime,15813,404
George Strait,10241,372
Chuck Berry,39,368
Lynyrd Skynyrd,40,358
Dizzy Gillespie,2122,337
Carpenters,288933,333
Stan Getz,16810,327
Bill Evans,808,306
The Boston Pops Orchestra,139819,302
Buddy Holly,41,292
Etta James,1821,292
Bobby Bland,316,290
Hank Williams,5787,286
The Temptations,337,279
Charlie Parker,10503,276
Eric Clapton,1481,268
Muddy Waters,168,257
Johnny Cash,1448,252
Frankie Ruíz,1262709,248
Chick Corea,9574,227
Jimmy Smith,811,225
The Mamas & The Papas,48,216
Andrea Bocelli,1469,216
Conway Twitty,5136,215
Godsmack,10262,213
Diana Ross,138,210
Slayer,17733,207
Oscar D'León,66554,206
John Hiatt,10898,199
Michael Jackson,88,197
Elvis Costello,2805,196
Rod Stewart,1174,192
Anthrax,13157,192
Andy Montañez,8865,190
Brenda Lee,4845,187
The Supremes,323,185
Eddie Santiago,88408,185
DJ Shadow,13,182
The Ventures,16211,182
Three Dog Night,1522,181
Reba McEntire,10812,180
The Killers,616,178
Jimmy Buffett,15793,178
Four Tops,90,175
Cher,248,174
Oscar Peterson,805,174
Jackson 5,87,169
Limp Bizkit,8280,169
Little Walter,11607,169
Tal Farlow,18546,168
Joan Baez,3378,165
Marvin Gaye,27,165
Tom Jones,9840,162
Don Williams,4758,159
Count Basie,958,159
Lalo Rodríguez,475305,159
Elvis Costello & The Attractions,82270,157
Toby Keith,10908,157
Diana Krall,13832,156
The Flying Burrito Brothers,1578,155
Patsy Cline,1500,152
Cream,7514,152
Quincy Jones,1413,151
Insane Clown Posse,25137,150
Traffic,10251,146
Bud Powell,5105,145
38 Special,1389,144
The Platters,1637,143
R.E.M.,590,143
Hollywood Undead,271012,143
Cameo,244,142
Nanci Griffith,824,140
Gladys Knight & The Pips,91,140
Steely Dan,4025,140
Styx,11412,140
Spanky & Our Gang,56164,140
John Lee Hooker,131,137
John Williams,2981,134
Astrud Gilberto,2751,132
Extreme,1385,132
Steppenwolf,1370,132
Louis Armstrong And The All-Stars,424398,129
Jerry Clower,308989,128
Derek & The Dominos,1478,127
Bo Diddley,10184,126
Carmen McRae,783,124
Clifford Brown,786,124
Louis Armstrong and His Orchestra,21027,123
Isaac Hayes,1565,122
Robert Palmer,1363,122
The Jam,1362,121
Free,50,120
New Edition,10230,120
Trisha Yearwood,10811,120
Antonio Carlos Jobim,3939,120
Johnny Hodges,18552,119
Elly Ameling,40862,116
Roger Miller,3362,115
Count Basie and His Orchestra,41055,113
Roy Eldridge,18554,112
3 Doors Down,108,112
Oingo Boingo,6227,111
Los Angeles De Charly,306948,111
Los Tigres Del Norte,260971,111
Spooky Tooth,10859,110
Teddy Wilson,10420,109
James Brown,187,109
Ahmad Jamal Trio,10183,107
Wes Montgomery,11297,107
Gerry Mulligan,2910,104
Rare Earth,1433,103
The Statler Brothers,59429,102
Sammy Kershaw,15644,101
Ahmad Jamal,809,101
Big K.R.I.T.,816768,101
Shirley Horn,787,99
Method Man,1457,99
Georgie Fame & The Blue Flames,11311,99
The Black Crowes,5827,99
Helen Merrill,3790,99
Mother Love Bone,82722,98
The Who,75,97
Banda El Recodo De Cruz Lizárraga,847381,96
Gato Barbieri,8111,95
Live,825,94
Willie Nelson,381,94
Marianne Faithfull,79,92
Loretta Lynn,1446,92
The Staple Singers,22865,92
David Pabón,127679,92
Art Tatum,18545,91
Donna Summer,1366,91
Billy Ray Cyrus,4978,91
Alan Silvestri,1971,90
Boyzone,1644,89
Bob Marley & The Wailers,159,89
Brian McKnight,10179,89
Nat King Cole,10474,89
The Allman Brothers Band,1372,87
Charlie Parker Quartet,18566,87
Max Roach,9949,86
Third World,1493,85
Maroon 5,222,85
The Neville Brothers,19466,85
Danny Elfman,31805,85
Drivin' N' Cryin',306544,85
Eric B. & Rakim,9928,84
